case_id,order_id,expected_category,expected_txn_ids,expected_amount,expected_currency,expected_settlement_date,expected_total_settled,expected_difference,split,note
C0114,ORD-000114,exact_match,TXN-0000114,9086.36,INR,2026-08-12,9086.36,0.0,dev,"Amount, date (within settlement lag), and reference all agree."
C0244,ORD-000244,exact_match,TXN-0000244,9307.67,INR,2026-06-19,9307.67,0.0,dev,"Amount, date (within settlement lag), and reference all agree."
C0304,ORD-000304,exact_match,TXN-0000304,19548.92,INR,2026-07-29,19548.92,0.0,dev,"Amount, date, and reference all agree exactly."
C0577,ORD-000577,date_issue,TXN-0000597,34558.39,INR,2026-08-15,34558.39,0.0,dev,"Genuine settlement (TXN-0000597) is dated +8 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue."
C0491,ORD-000491,amount_issue,TXN-0000491,32109.53,INR,2026-06-30,37383.42,-5273.89,validation,Gross settlement amount is materially mismatched vs order amount — possible keying error (diff ₹5273.89).
C0429,ORD-000429,amount_issue,TXN-0000429,5623.38,INR,2026-06-15,5616.42,6.96,dev,Gross settlement amount differs from order amount by a small variance (₹6.96).
C0062,ORD-000062,exact_match,TXN-0000062,17747.54,INR,2026-06-16,17747.54,0.0,dev,"Amount, date, and reference all agree exactly."
C0924,ORD-000899,multiple_possible_matches,TXN-0001164,2240.63,INR,2026-06-23,2240.63,0.0,test_holdout,"3 settlement(s) are plausible candidates (shared amount/date, generic reference); only TXN-0001164 is correct. Decoys: TXN-0001165,TXN-0001166. Correct agent behavior may be to abstain with a confidence flag rather than guess."
C0224,ORD-000224,exact_match,TXN-0000224,35026.98,INR,2026-07-11,35026.98,0.0,dev,"Amount, date, and reference all agree exactly."
C0575,ORD-000575,date_issue,TXN-0000595,25451.65,INR,2026-07-14,25451.65,0.0,dev,"Genuine settlement (TXN-0000595) is dated +3 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue."
C0009,ORD-000009,exact_match,TXN-0000009,19327.51,INR,2026-08-08,19327.51,0.0,dev,"Reference id formatted differently ('ord-000009' vs 'ORD-000009') — requires normalization, but amount/date/identity agree: true match."
C0405,ORD-000405,amount_issue,TXN-0000405,42038.86,INR,2026-06-10,42046.54,-7.68,validation,Gross settlement amount differs from order amount by a small variance (₹7.68).
C0087,ORD-000087,exact_match,TXN-0000087,3321.92,INR,2026-06-03,3321.92,0.0,dev,"Amount, date (within settlement lag), and reference all agree."
C0083,ORD-000083,exact_match,TXN-0000083,42068.73,INR,2026-07-02,42068.73,0.0,validation,"Amount, date, and reference all agree exactly."
C0564,ORD-000564,date_issue,TXN-0000584,37760.63,INR,2026-06-14,37760.63,0.0,dev,"Genuine settlement (TXN-0000584) is dated +5 day(s) from the order date — beyond the 2-day settlement-lag tolerance, so this is date_issue."
C0213,ORD-000213,exact_match,TXN-0000213,18291.13,INR,2026-08-20,18291.13,0.0,test_holdout,"Amount, date (within settlement lag), and reference all agree."
C0325,ORD-000325,exact_match,TXN-0000325,28107.87,INR,2026-07-25,28107.87,0.0,dev,"Amount, date, and reference all agree exactly."
C0782,ORD-000757,duplicate_record,TXN-0000799;TXN-0000800,37225.08,INR,2026-08-08,37225.08,0.0,dev,Duplicate + partial combo: TXN-0000799 and TXN-0000800 together equal the order amount (genuine two-part settlement); TXN-0000801 duplicates one leg and should be excluded/reversed.
C0484,ORD-000484,amount_issue,TXN-0000484,1437.95,INR,2026-07-20,1844.55,-406.6,dev,Gross settlement amount is materially mismatched vs order amount — possible keying error (diff ₹406.60).
C0014,ORD-000014,exact_match,TXN-0000014,15404.49,INR,2026-07-11,15404.49,0.0,validation,"Reference id formatted differently ('ORD-00014' vs 'ORD-000014') — requires normalization, but amount/date/identity agree: true match."
C0944,ORD-000919,other_conflicting,TXN-0001221,8218.47,INR,2026-06-22,99.02,8119.45,dev,"Order booked in INR, settlement recorded in USD. Cannot be reconciled by direct numeric comparison — requires an FX rate source, or should be flagged as conflicting without one."
C0753,ORD-000728,duplicate_record,TXN-0000730,31597.77,INR,2026-06-24,31597.77,0.0,test_holdout,"Near duplicate: same order and amount settled twice, one day apart."
