txn_id,reference_order_id,settlement_date,gross_amount,currency,fee,net_amount,settlement_status
TXN-0000495,ORD-000495,2026-06-06,29176.16,INR,448.48,28727.68,settled
TXN-0000774,ORD-000748,2026-06-08,17872.85,INR,412.41,17460.44,settled
TXN-0000537,ORD-000529,2026-08-17,31398.07,INR,738.34,30659.73,settled
TXN-0001099,UNSPECIFIED,2026-08-02,6117.49,INR,144.83,5972.66,settled
TXN-0000412,ORD-000412,2026-06-27,43678.47,INR,697.79,42980.68,settled
TXN-0000548,ORD-GHOST-471889,2026-06-12,28009.49,INR,467.2,27542.29,settled
TXN-0000252,ORD-000252,2026-06-26,23393.88,INR,501.0,22892.88,settled
TXN-0000533,ORD-000527,2026-07-02,24732.91,INR,584.23,24148.68,settled
TXN-0000982,ORD-000844,2026-06-22,230.56,INR,4.64,225.92,settled
TXN-0001227,ORD-000925,2026-08-11,280.93,USD,4.71,276.22,settled
TXN-0000403,ORD-000403,2026-07-21,5714.03,INR,131.85,5582.18,settled
TXN-0000004,ORD-00004,2026-08-12,5702.52,INR,139.58,5562.94,settled
TXN-0000361,ORD-000361,2026-08-18,26699.89,INR,527.44,26172.45,settled
TXN-0000525,ORD-000523,2026-07-12,27470.32,INR,673.79,26796.53,settled
TXN-0000754,ORD-000740,2026-06-03,2705.53,INR,43.8,2661.73,settled
TXN-0000630,ORD-000610,2026-08-11,43082.19,INR,1064.34,42017.85,settled
TXN-0000123,ORD-000123,2026-07-08,11506.57,INR,287.53,11219.04,settled
TXN-0000804,ORD-000758,2026-07-03,19941.08,INR,464.29,19476.79,settled
TXN-0000753,ORD-000739,2026-08-27,2826.94,INR,52.69,2774.25,settled
TXN-0000712,ORD-000719,2026-07-03,33819.58,INR,588.5,33231.08,settled
TXN-0000840,ORD-000773,2026-06-27,5208.64,INR,79.72,5128.92,settled
TXN-0001085,UNSPECIFIED,2026-08-12,7575.55,INR,172.02,7403.53,settled
TXN-0000040,ord-000040,2026-08-02,28139.38,INR,677.93,27461.45,settled
TXN-0001176,ORD-000902,2026-06-21,353.0,INR,6.41,346.59,settled
TXN-0000637,ORD-000617,2026-07-23,39693.33,INR,690.3,39003.03,settled
TXN-0001106,UNSPECIFIED,2026-08-18,7821.74,INR,121.74,7700.0,settled
TXN-0000144,ORD-000144,2026-08-07,38517.5,INR,619.76,37897.74,settled
TXN-0000193,ORD-000193,2026-08-14,8858.15,INR,209.6,8648.55,settled
TXN-0000471,ORD-000472,2026-06-25,31363.51,INR,710.09,30653.42,settled
TXN-0000465,ord-000465,2026-08-29,12583.68,INR,238.78,12344.9,settled
TXN-0000832,ORD-000769,2026-07-17,11332.74,INR,249.26,11083.48,settled
TXN-0000113,ORD-000113,2026-08-06,12956.63,INR,209.7,12746.93,settled
TXN-0000915,ORD-000810,2026-06-13,22874.65,INR,374.01,22500.64,settled
TXN-0000585,ORD-000565,2026-07-10,24659.85,INR,428.32,24231.53,settled
TXN-0001219,ORD-000917,2026-07-23,138.69,USD,2.75,135.94,settled
TXN-0000980,ORD-000843,2026-06-18,17374.3,INR,423.84,16950.46,settled
TXN-0000426,ORD-000426,2026-06-03,4477.37,INR,94.0,4383.37,settled
TXN-0000291,ORD-000291,2026-06-18,15132.31,INR,262.99,14869.32,settled
TXN-0001024,UNSPECIFIED,2026-06-17,767.53,INR,15.12,752.41,settled
TXN-0000708,ORD-000717,2026-08-21,35331.7,INR,635.61,34696.09,settled
TXN-0001078,ORD-000874,2026-08-25,667.44,INR,16.2,651.24,settled
TXN-0000333,ORD-000333,2026-06-26,22326.6,INR,500.54,21826.06,settled
TXN-0000934,ORD-000820,2026-06-22,9881.08,INR,181.98,9699.1,settled
TXN-0000496,ORD-000496,2026-07-11,14044.66,INR,350.85,13693.81,settled
TXN-0000985,ORD-000845,2026-06-29,7416.07,INR,131.34,7284.73,settled
TXN-0001142,UNSPECIFIED,2026-07-25,5881.07,INR,99.03,5782.04,settled
TXN-0001098,ORD-000879,2026-06-12,838.57,INR,19.18,819.39,settled
TXN-0000196,ORD-000196,2026-06-19,2130.87,INR,47.57,2083.3,settled
TXN-0000277,ORD-000277,2026-06-13,15703.16,INR,324.44,15378.72,settled
TXN-0000251,ORD-000251,2026-06-04,27626.89,INR,453.71,27173.18,settled
TXN-0000959,ORD-000832,2026-07-31,2490.68,INR,44.38,2446.3,settled
TXN-0001206,UNSPECIFIED,2026-06-18,6025.41,INR,109.13,5916.28,settled
TXN-0000438,ORD-000438,2026-07-01,42799.44,INR,713.46,42085.98,settled
TXN-0001150,UNSPECIFIED,2026-08-09,1901.12,INR,28.72,1872.4,settled
TXN-0000422,ORD-000422,2026-06-01,16120.46,INR,281.26,15839.2,settled
TXN-0000505,ORD-000505,2026-08-26,3242.91,INR,58.03,3184.88,settled
TXN-0000989,UNSPECIFIED,2026-06-01,2288.25,INR,48.23,2240.02,settled
TXN-0000315,ORD-000315,2026-06-10,746.88,INR,15.9,730.98,settled
TXN-0000722,ORD-000724,2026-07-25,35713.78,INR,643.02,35070.76,settled
TXN-0000489,ORD-000489,2026-08-28,11927.71,INR,208.55,11719.16,settled
TXN-0000012,ord-000012,2026-06-10,5445.25,INR,89.95,5355.3,settled
TXN-0001127,ORD-000887,2026-07-30,564.37,INR,10.31,554.06,settled
TXN-0000784,ORD-000752,2026-06-14,15358.89,INR,290.89,15068.0,settled
TXN-0000707,ORD-000716,2026-07-30,37485.68,INR,725.47,36760.21,settled
TXN-0000064,ORD-000064,2026-06-20,42286.78,INR,694.76,41592.02,settled
TXN-0000209,ORD-000209,2026-06-10,5029.36,INR,115.28,4914.08,settled
TXN-0000292,ORD-000292,2026-06-26,12146.6,INR,257.18,11889.42,settled
TXN-0001183,UNSPECIFIED,2026-08-28,3016.79,INR,64.73,2952.06,settled
TXN-0000086,ORD-000086,2026-08-23,6416.39,INR,149.95,6266.44,settled
TXN-0000860,ORD-000783,2026-07-16,6208.77,INR,136.05,6072.72,settled
TXN-0000888,ORD-000797,2026-08-22,899.31,INR,15.29,884.02,settled
TXN-0000821,ORD-000764,2026-08-13,15050.68,INR,257.96,14792.72,settled
TXN-0001265,ORD-000973,2026-07-07,-12478.96,INR,0.0,-12478.96,chargeback
TXN-0001172,ORD-000901,2026-08-11,2941.03,INR,51.32,2889.71,settled
TXN-0000208,ORD-000208,2026-06-22,6693.02,INR,111.89,6581.13,settled
TXN-0000938,ORD-000822,2026-06-09,10294.97,INR,209.57,10085.4,settled
TXN-0000109,ORD-000109,2026-07-07,34548.61,INR,586.74,33961.87,settled
TXN-0000779,ORD-000750,2026-08-15,6749.4,INR,125.55,6623.85,settled
TXN-0000309,ORD-000309,2026-06-14,1860.83,INR,41.24,1819.59,settled
TXN-0000956,ORD-000831,2026-06-04,5479.08,INR,128.93,5350.15,settled
TXN-0000443,ORD-000443,2026-08-01,21180.11,INR,357.69,20822.42,settled
TXN-0000987,UNSPECIFIED,2026-07-12,7812.02,INR,169.42,7642.6,settled
TXN-0000236,ORD-000236,2026-07-18,12024.22,INR,223.68,11800.54,settled
TXN-0000626,ORD-000606,2026-08-03,26843.81,INR,590.14,26253.67,settled
TXN-0001047,UNSPECIFIED,2026-07-12,2472.13,INR,52.04,2420.09,settled
TXN-0000681,ORD-000703,2026-06-15,13244.31,INR,275.29,12969.02,settled
TXN-0000103,ORD-000103,2026-06-14,17041.33,INR,362.6,16678.73,settled
TXN-0000296,ORD-000296,2026-06-19,35800.72,INR,635.04,35165.68,settled
TXN-0000168,ORD-000168,2026-07-10,37017.06,INR,816.32,36200.74,settled
TXN-0000264,ORD-000264,2026-07-26,43012.99,INR,777.57,42235.42,settled
TXN-0000940,ORD-000823,2026-06-19,12116.33,INR,265.05,11851.28,settled
TXN-0000378,ORD-000378,2026-07-02,17043.96,INR,387.14,16656.82,settled
TXN-0000022,ORD-00022,2026-06-20,10553.27,INR,177.54,10375.73,settled
TXN-0001109,UNSPECIFIED,2026-07-03,6405.92,INR,110.69,6295.23,settled
TXN-0001092,UNSPECIFIED,2026-07-02,3547.61,INR,65.21,3482.4,settled
TXN-0000967,ORD-000836,2026-08-18,6754.3,INR,136.54,6617.76,settled
TXN-0000349,ORD-000349,2026-07-22,32562.04,INR,504.61,32057.43,settled
TXN-0001008,ORD-000851,2026-08-24,2119.97,INR,43.64,2076.33,settled
TXN-0000851,ORD-000778,2026-07-14,17197.37,INR,271.11,16926.26,settled
TXN-0000126,ORD-000126,2026-07-02,43701.08,INR,738.48,42962.6,settled
TXN-0000202,ORD-000202,2026-06-08,14159.43,INR,271.02,13888.41,settled
TXN-0001255,ORD-000989,2026-06-09,28442.13,INR,669.76,27772.37,settled
TXN-0000368,ORD-000368,2026-08-05,20807.0,INR,323.06,20483.94,settled
TXN-0000389,ORD-000389,2026-08-01,22851.67,INR,386.72,22464.95,settled
TXN-0000111,ORD-000111,2026-08-19,25614.11,INR,508.64,25105.47,settled
TXN-0000598,ORD-000578,2026-07-30,15583.24,INR,336.19,15247.05,settled
TXN-0000755,ORD-000740,2026-06-04,2705.53,INR,50.79,2654.74,settled
TXN-0000616,ORD-000596,2026-07-12,42948.81,INR,765.59,42183.22,settled
TXN-0000199,ORD-000199,2026-08-02,2987.71,INR,64.65,2923.06,settled
TXN-0000070,ORD-000070,2026-08-07,43240.75,INR,989.51,42251.24,settled
TXN-0001235,ORD-000933,2026-06-11,22218.01,INR,366.39,21851.62,settled
TXN-0000215,ORD-000215,2026-06-21,11230.59,INR,190.09,11040.5,settled
TXN-0000697,ORD-000711,2026-06-09,44878.63,INR,909.04,43969.59,settled
TXN-0001071,UNSPECIFIED,2026-07-17,4409.71,INR,97.73,4311.98,settled
TXN-0000119,ORD-000119,2026-08-02,17824.51,INR,355.01,17469.5,settled
TXN-0000072,ORD-000072,2026-07-06,34046.58,INR,740.84,33305.74,settled
TXN-0001225,ORD-000923,2026-07-27,478.07,USD,10.2,467.87,settled
TXN-0000739,ORD-000732,2026-07-11,22560.61,INR,475.26,22085.35,settled
TXN-0000396,ORD-000396,2026-06-24,17107.68,INR,405.57,16702.11,settled
TXN-0000018,ord-000018,2026-08-18,5401.75,INR,88.01,5313.74,settled
TXN-0000649,ORD-UNKNOWN-620670,2026-06-12,40039.28,INR,680.87,39358.41,settled
TXN-0001211,ORD-000913,2026-06-19,520.32,INR,12.27,508.05,settled
TXN-0000984,ORD-000845,2026-06-28,8745.61,INR,158.29,8587.32,settled
TXN-0000503,ORD-000503,2026-08-06,14544.64,INR,321.1,14223.54,settled
TXN-0000960,ORD-000833,2026-07-31,6105.32,INR,121.63,5983.69,settled
TXN-0000516,ORD-000516,2026-08-03,39453.54,INR,646.37,38807.17,settled
TXN-0000173,ORD-000173,2026-07-17,12363.31,INR,277.73,12085.58,settled
TXN-0000624,ORD-000604,2026-08-28,32278.59,INR,673.1,31605.49,settled
TXN-0000021,ORD000021,2026-07-18,30770.13,INR,487.09,30283.04,settled
TXN-0000515,ORD-000515,2026-07-02,2389.55,INR,47.66,2341.89,settled
TXN-0001188,UNSPECIFIED,2026-08-19,3158.54,INR,64.88,3093.66,settled
TXN-0000155,ORD-000155,2026-07-18,10321.36,INR,228.96,10092.4,settled
TXN-0000965,ORD-000835,2026-08-02,4541.11,INR,77.92,4463.19,settled
TXN-0000604,ORD-000584,2026-07-03,18127.86,INR,385.15,17742.71,settled
